feature,post_vs_cutoff_smd,error_vs_correct_smd,cutoff_mean,post_mean,correct_mean,error_mean
path_prev2_b6_mean,-0.3097869867140573,-0.01768014413949298,18534.94457706829,17046.478371696037,17453.700809044563,17363.41990618585
path_prev2_b6_std,-0.04052789982056641,-0.11878921055161318,1582.7064575641748,1539.3489162011947,1581.452247574051,1460.0811734900906
path_prev2_b6_p05,-0.2958983083638865,0.006672635845949852,16062.59063486366,14639.649565202872,14998.453534308594,15031.871472381516
path_prev2_b6_p95,-0.30297644214864183,-0.04518987729313863,21090.528052609166,19518.214482090334,19987.672142768388,19738.01233361655
path_prev2_b7_mean,-0.170791882276976,0.05644314747060017,16100.38608771657,15315.481206587912,15450.827055510972,15714.951050894211
path_prev2_b7_std,-0.08341337650677501,-0.08847389811248994,1491.427314417007,1402.0297006986818,1447.6077504601874,1359.25803038496
path_prev2_b7_p05,-0.15966948235962403,0.06964252192895878,13910.049820957809,13189.764535149547,13295.279532756482,13611.036756151194
path_prev2_b7_p95,-0.19670200358925174,0.027517188835440184,18573.163619942447,17569.459538124476,17792.611599470463,17933.736025603303
path_prev3_zero_fraction,0.022048063306107864,-0.04519404952706574,0.0004645219801992651,0.000659260479225395,0.0007044035056379508,0.00032977101609119155
path_prev3_extreme_fraction,0.4955641832249653,0.13652808374989295,0.004186452235406562,0.06609191758329885,0.04458278313307755,0.06629211714266979
path_prev3_b1_mean,0.5094157957549288,0.1835849237194252,10092.653842303904,13136.807866265397,11996.97958052727,13387.011073751562
path_prev3_b1_std,0.36102421876632984,0.1255464025509529,790.8419767845345,1398.3315418386944,1178.0079394053494,1427.3674911272947
path_prev3_b1_p05,0.4242770129374795,0.16415662737676726,9046.172015036876,10901.033065120202,10199.724107921898,11073.35687838973
path_prev3_b1_p95,0.4915126758633091,0.17310711920320304,11520.33666199311,15310.609685832696,13906.134705437204,15579.048207653934
path_prev3_b2_mean,0.4997973933908426,0.18597836075865137,10765.162718393636,13782.33930454004,12643.728194909341,14056.323930592589
path_prev3_b2_std,0.3699397915815517,0.13022698932427354,871.4942484436089,1518.980538375472,1282.860779127261,1553.7038834097555
path_prev3_b2_p05,0.39870738558580815,0.16308078175461205,9631.940580190005,11367.496466420911,10702.070526423868,11555.733977719095
path_prev3_b2_p95,0.4856426922836344,0.17600720553502117,12344.55130619964,16156.300352554144,14733.072091095875,16457.852125696947
path_prev3_b3_mean,0.466530676079389,0.18946619552986413,12552.889281065625,15195.491404179338,14178.536900588153,15493.109625677771
path_prev3_b3_std,0.3696904943538696,0.13289559486126162,1044.5232049049143,1658.0550874580806,1432.900186212816,1695.105323423449
path_prev3_b3_p05,0.34034366918958325,0.1653921681379425,11169.95394551115,12581.25881836222,12015.20952270478,12807.325059875902
path_prev3_b3_p95,0.46325169507373587,0.18170043100922967,14423.762216387537,17825.802102580714,16530.293454407267,18168.85570921239
path_prev3_b4_mean,0.4398990566636697,0.19089778469291477,13703.92986017854,16400.2612563221,15350.71954470052,16738.786274712158
path_prev3_b4_std,0.35753044620601293,0.123793480812873,1321.623856202865,1940.8796895815908,1716.6726193632223,1969.35453557151
path_prev3_b4_p05,0.2992131963173805,0.16296139649927144,11883.199662060013,13332.285262065467,12734.883259038028,13611.810503193788
path_prev3_b4_p95,0.4536783915352163,0.18473932575140226,16015.34761480887,19485.71054650994,18155.722407019268,19860.416871503065
path_prev3_b5_mean,0.2937363716759071,0.11186255262263879,18166.88806492025,19668.702020547193,19111.581709342976,19776.901010520796
path_prev3_b5_std,0.3936331016323346,0.10897065632644064,1429.2838937377123,2026.0941683244057,1823.1171651481054,2015.1902502538987
path_prev3_b5_p05,0.09703445707781683,0.07371323595398083,15915.499896255282,16332.870806554867,16137.556722681804,16481.415444600912
path_prev3_b5_p95,0.3634958697191894,0.12409837660897319,20495.690959839856,22828.192166242796,21985.348137677916,22930.591872479275
path_prev3_b6_mean,-0.2752722996243256,-0.005947159861936793,18315.764011900374,16996.319704826532,17344.650604594288,17314.289716388957
path_prev3_b6_std,-0.1956311738705322,-0.13449347831525074,1650.5816675251997,1438.449568911472,1527.1703435411043,1393.822235218247
path_prev3_b6_p05,-0.22732387075243118,0.02932108959444466,15796.287663597437,14704.404160597313,14948.962030804429,15095.413229833168
path_prev3_b6_p95,-0.3348530491127041,-0.038947909872978616,21009.984215719523,19271.497749369948,19775.335343854364,19559.11157156833
path_prev3_b7_mean,-0.14086894885994303,0.06513187187257283,15924.24806785785,15289.18739658659,15376.277509171134,15677.998390118764
path_prev3_b7_std,-0.21539471725656054,-0.11663157629153781,1557.0059180254666,1328.1795659744064,1415.4451783523627,1304.7314363103048
path_prev3_b7_p05,-0.09620436280886686,0.09078653945526173,13680.474809382842,13251.190631017487,13257.774355399652,13667.031756907758
path_prev3_b7_p95,-0.23097975604997542,0.029168115859298013,18534.57471322291,17394.155107584058,17651.2728993452,17797.60270535007
path_seasonal_zero_fraction,-0.03804459023079554,-0.05962539235179534,0.0009584297790972676,0.0005759552334844955,0.0008012104820578953,0.00030441934003162113
path_seasonal_extreme_fraction,0.09202819098132513,0.04760626882345781,0.011706214243610184,0.01907181316691095,0.016105554565845916,0.020286910064333013
path_seasonal_b1_mean,0.04790531580967379,0.11569114888019526,10587.980681330355,10786.809526206203,10610.172594465772,11102.203256614546
path_seasonal_b1_std,0.29312042619566153,0.14350245645352236,739.3710123084304,1189.1029675041057,1007.2420836603757,1265.477349534285
path_seasonal_b1_p05,-0.11501662521032667,0.04725444422595218,9520.846229235576,9132.87998222728,9194.561982961974,9345.600016227378
path_seasonal_b1_p95,0.17976297245509779,0.14745482535757598,11803.008244024359,12826.24098003774,12328.27001114999,13246.416022676402
path_seasonal_b2_mean,0.02932132429571005,0.12814867972354194,11261.308229301965,11384.907670557915,11211.650100050894,11766.661862532355
path_seasonal_b2_std,0.3005653287840655,0.14212939264239996,802.073791646336,1266.1517178041852,1080.310001898702,1339.6352283058316
path_seasonal_b2_p05,-0.13539298032498964,0.06561175043145315,10120.451726127536,9656.011637250598,9721.048087806976,9936.42635596213
path_seasonal_b2_p95,0.17104147277736323,0.15686012071988162,12597.0343293365,13580.394108290357,13074.911298245548,14062.96611167747
path_seasonal_b3_mean,0.003082792631723718,0.1457810108649591,13000.28030301988,13013.455268075324,12847.008817000027,13487.199585701814
path_seasonal_b3_std,0.2951439122661189,0.13222676083837834,949.2900302916523,1371.422136756073,1205.4965104418031,1429.1369916813069
path_seasonal_b3_p05,-0.13983900324872797,0.10231680362619097,11636.181554449122,11131.931707134918,11170.414354619528,11530.40477214515
path_seasonal_b3_p95,0.14453532292971047,0.17036310303809393,14600.93482113496,15408.199801042892,14935.985062072537,15971.898100714938
path_seasonal_b4_mean,-0.019554980001683077,0.13535237125984337,14165.301578082346,14068.395863475629,13917.785862729887,14607.369622804914
path_seasonal_b4_std,0.2945490774070457,0.11887683743991899,1186.7194301891427,1629.654427892131,1461.6191612874006,1672.4579344541419
path_seasonal_b4_p05,-0.13959490354538878,0.0951650241494159,12418.244234893036,11793.086250104225,11845.57937592035,12273.106730825635
path_seasonal_b4_p95,0.12387365474434196,0.16500259293347255,16144.786860410039,16890.99327490875,16425.44833202839,17497.059639074563
path_seasonal_b5_mean,0.05306793611577454,0.10110685282018206,18182.66917440395,18403.51856545973,18233.017455176054,18678.63680172818
path_seasonal_b5_std,0.36304171046829786,0.06163270459330934,1361.778515126093,1859.0175137828417,1705.880463768218,1803.1813416240982
path_seasonal_b5_p05,-0.12900890857757485,0.06842212725472913,16037.992054800668,15509.723457655666,15572.320927580911,15861.970186080307
path_seasonal_b5_p95,0.21499511370791308,0.11179424173239119,20375.983065584136,21452.151830608836,21016.425342809536,21636.51702039311
path_seasonal_b6_mean,-0.17553945742141364,0.08357122788043571,18507.385368623964,17658.53789820147,17769.582604237356,18193.93401143007
path_seasonal_b6_std,0.17256764263756977,-0.010444653603336048,1500.0905156348867,1701.6006798464844,1652.8963985209846,1639.887590888397
path_seasonal_b6_p05,-0.23024288186383637,0.08277280312374681,16181.672403294857,15044.793862725403,15229.691804449109,15656.000484777338
path_seasonal_b6_p95,-0.09529718130923329,0.07081471856516522,20940.25824055015,20442.73202599854,20471.82969898179,20861.854945551673
path_seasonal_b7_mean,-0.16878321937989174,0.10258931997581121,16212.567854926636,15424.928642833067,15502.826328420459,15995.289369135744
path_seasonal_b7_std,0.09406005731200276,0.015384920869550687,1434.625053453798,1542.3572958266418,1510.0434681108932,1527.7284524455235
path_seasonal_b7_p05,-0.19525768517011188,0.09271987730866459,14091.53504729397,13185.681134207505,13306.801357817407,13749.371525611321
path_seasonal_b7_p95,-0.1188927442036089,0.09849601958436223,18596.409039050806,17974.798160982842,18005.05323152001,18516.302077313347
path_year_zero_fraction,0.00039385764443071095,-0.03354518816967192,0.0006101242892366526,0.0006136922362246773,0.000682805746658185,0.00040781831743764974
path_year_extreme_fraction,0.16761462957017736,0.07727789022303383,0.013575039791900502,0.03156997885189654,0.024478397639500295,0.03408410209598196
path_year_b1_mean,0.12521133208555815,0.15596396533324708,10592.639859899915,11217.544374423162,10824.283307177768,11735.022793373182
path_year_b1_std,-0.14075228311350724,0.0910983050127783,939.0915799703595,749.4483273806912,769.694247424028,882.415620314228
path_year_b1_p05,0.20268555439517993,0.145872403207558,9263.358275940167,10062.675667952824,9683.188264860564,10363.067016479536
path_year_b1_p95,0.038471663322279664,0.1483816970153698,12184.141673205173,12425.344747565918,12100.077080318744,13132.750509906127
path_year_b2_mean,0.11259458977408308,0.15897414265103757,11239.378936434347,11801.046018877016,11421.803267928148,12341.595816261213
path_year_b2_std,-0.12022378268483956,0.09978239240906539,1002.9873293624373,839.8661697422527,849.3592371538643,977.4192931227325
path_year_b2_p05,0.17757212401955763,0.1450776071497936,9827.311116963569,10521.497550293148,10174.07177272572,10834.61922630084
path_year_b2_p95,0.035421372067372336,0.1527058343689486,12947.58604012678,13170.253421209396,12842.039073371212,13905.069670526083
path_year_b3_mean,0.07247829939684024,0.16033344365479005,12898.296912665937,13245.709256553346,12935.88062634386,13800.283207831746
path_year_b3_std,-0.09355014997096002,0.10569241168521464,1135.6570831929012,1017.9673121920227,1015.1350766787285,1145.5421406011503
path_year_b3_p05,0.10978780753438308,0.14201434164659812,11274.274101770608,11695.917862314382,11431.716040509651,12041.728536055762
path_year_b3_p95,0.013858553958015147,0.15772052644095017,14841.232593693587,14923.875787384186,14641.553866818773,15666.31375810432
path_year_b4_mean,0.08032405191528061,0.16069511312627965,14056.34945733533,14483.786064767914,14134.895168690242,15071.564053574617
path_year_b4_std,-0.06734903664304993,0.09253244991878258,1372.6665855853144,1285.7437735491048,1278.2955456856214,1395.6427336232825
path_year_b4_p05,0.10222192739313964,0.140880776198293,12040.74493520427,12503.21401500045,12208.161417456582,12897.928911296678
path_year_b4_p95,0.03407820359540616,0.15827104466930889,16374.244990473442,16590.591213079977,16259.665858710217,17339.748015575144
path_year_b5_mean,-0.06882920837890961,0.05197745242003292,17985.38030023363,17669.91973174514,17684.154143724933,17948.003658535734
path_year_b5_std,-0.08985161797405934,0.02220324232249195,1579.6874811235302,1475.2117509564898,1495.7704216122438,1520.9408386319674
path_year_b5_p05,-0.05660281689939679,0.048078239553860994,15505.087739436682,15268.510669454,15273.73849279188,15492.998293081364
path_year_b5_p95,-0.09913018293271492,0.052150672288133054,20547.762970686614,20010.318324739288,20070.77339580518,20378.135223103214
path_year_b6_mean,-0.15898446123978147,0.006593729717924176,18272.456231837794,17540.203324585484,17721.209815471742,17752.683081063402
path_year_b6_std,-0.09004053987236837,-0.08935793714962846,1669.5489581992567,1571.5336884410815,1619.4950379854122,1530.5219671374684
path_year_b6_p05,-0.13823893408153945,0.026486921209859293,15677.305144074786,15035.294590129213,15168.692767361536,15295.631292691924
path_year_b6_p95,-0.19774624406020685,-0.019287788191228186,20986.23941797013,19987.953975715925,20270.955167429773,20171.59253411693
path_year_b7_mean,-0.04776478255851705,0.07248007927452423,15946.376151648908,15732.7104135507,15704.341651230538,16032.294767424022
path_year_b7_std,-0.0514563989912269,-0.063127541411859,1526.2168587507938,1469.2935784865074,1500.1535964319296,1436.6786643742919
path_year_b7_p05,-0.04603390356205994,0.07638131773728181,13701.481561371742,13498.792077967364,13464.395929773396,13804.89013942077
path_year_b7_p95,-0.08979351767854685,0.03879749168457818,18494.11860356722,18034.806031865333,18103.87913439654,18298.210590813338
