id,plume_id,mask_pixels,swir_nd_true_contrast,swir_nd_shifted_contrast,b11_true_contrast,b11_shifted_contrast,b12_true_contrast,b12_shifted_contrast,visible_true_contrast,visible_shifted_contrast
214519,tan20241216t103507c00s4001-G,15358,-0.39498874772095666,0.05377429118875343,-0.22788496617661952,0.3143253887481259,-0.01300566691718918,0.32263371202899654,-0.6176399416180164,0.2770675541787006
81269,GAO20240611t224700p0000-F,2975,0.13840468906774914,0.5217604894612271,-0.7396510225700197,-0.2529333631475228,-0.7464940860046623,-0.3866506164593305,-0.9346510890137861,-0.49570826097123066
239913,tan20250606t182428c36s4001-A,36319,-0.24966248915161685,0.1564061277092309,-0.5160499599979035,0.2864700802072893,-0.42159978660397707,0.23416819686232188,-1.2036059106310508,0.34875995603100657
74089,GAO20240514t175545p0000-D,8001,-0.05847605924648802,0.32063307687285064,0.17763277554880538,-0.07464893142930668,0.21562273474092403,-0.12896444212497607,-0.027083565464705472,0.10832573839021183
8852,GAO20200714t180642p0000-J,4697,0.7696852064287945,-0.27211627493728474,0.009510838685047578,0.2953918561279227,-0.18142119723447672,0.3018891640401387,0.3814053968023329,0.3955115023380491
90727,ang20171016t195222-B,3081,-0.2741951073612258,1.4831049386750925,-0.0867697965853514,-0.28074945761033093,-0.00838088512599349,-1.0145940430685234,0.02958050967429401,-0.8167566670419106
9714,GAO20200719t150529p0000-E,2372,0.04556868006660305,0.8316468305823398,-0.3091846645504203,-0.465153629254747,-0.29540473988857807,-0.595598023458809,-0.22382875080555736,-0.6179218588458425
90204,ang20171016t192429-A,1899,-0.25255691139140724,0.2817681489583859,0.02955248030530942,-0.18085798529317104,0.19255737574218626,-0.40191830322879835,0.1584744212913024,-0.472197597201241
86684,ang20170906t221608-A,2367,-1.6188020323785817,-0.20941661974602113,0.5789760023790576,0.09491631624226395,0.8954307971861909,0.266460803715602,0.8340682608861285,0.333798638677962
7643,GAO20200714t164416p0000-C,2702,0.657044277922837,0.16044024687546315,0.3565860997918591,0.09912773716519861,0.07654223503795074,0.020431839014950704,0.29222324658005305,0.15190171191240256
75629,GAO20240514t185646p0000-J,631,1.6144377096753126,-0.9448998362817999,-1.2434305566235875,0.026481425671654023,-1.4697459672207014,0.28848036380437087,-0.346765781443512,-0.20917437141450157
16750,GAO20201119t200352p0000-A,2005,-0.03487126140021112,0.49077239660826244,0.4534190561730682,0.2299844160503701,0.4482435530305478,0.012042303484092841,0.6240805498583213,-0.04928633430372376
133555,emi20230607t092641p06029-C,13324,-1.3550284575359979,-0.08892461561843606,-1.7591460303848947,0.02657492452692671,-1.3841253376138702,0.04204747235448872,-1.2429485584889641,0.16864228292768443
252115,tan20250803t171011c58s4001-H,14839,-0.6515180782157471,0.1145477606547773,0.8084774239800077,-0.32195154318136693,0.9226247352076867,-0.27954850158033956,1.176412686832844,-0.1840402868772764
248161,tan20250722t080219c07s4001-L,10403,-1.4274456596297649,-0.12857106593859036,-1.6478502776910433,0.44831447466185603,-1.3437359790317496,0.46196119103074634,-1.811504679477775,0.08129593706005075
71741,GAO20240514t154756p0000-E,8261,1.3039658985849456,-0.2892491765236999,1.4235849245417271,0.2408921046877154,1.214190889604469,0.34802885046702176,2.637361848860437,0.11855946827487483
120655,av320250803t180603-E,3941,-1.746128600565115,0.16617598491781535,0.31365716017786677,-0.028612014391573296,0.7438788541923497,-0.043019754591413474,1.1487569860418383,-0.05219511640771699
80519,GAO20240611t220309p0000-B,12965,-0.6156197319565275,0.30884789936777457,-0.13631455868368197,0.27655641673771764,0.09211910954725597,0.0823209235447338,0.215126999977176,0.09404859948942847
132150,emi20230604t115318p08003-A,50032,,,,,,,,
110486,ang20220607t210726-B,3857,-0.543167943341044,0.07090791800492584,-0.5746003347713585,0.5863779988087963,-0.40304073858847017,0.5745874972713332,-0.6498228636666938,0.4274950679062403
218971,tan20250203t034534c00s4001-L,9135,-0.16279085001925214,-0.6646736522709357,0.4317668102528058,0.12368764954546135,0.5164923112024912,0.24554422319100427,0.6408525286787066,-0.10347848968315654
171946,emi20240625t064958p05024-A,14922,-0.7715030023760323,0.41534434468797854,0.27393020667482937,-0.4263850922106511,0.5919885826837129,-0.537062684100655,0.304987646401738,-0.4286703715576835
