plume_id,has_all6_files,has_all6_center_nonzero,zero_or_missing_timepoints
GAO20230819t193458p0000-G,True,False,5
GAO20230819t193458p0000-N,True,False,5
GAO20230819t193458p0000-T,True,False,5
GAO20230819t194058p0000-A,True,True,0
GAO20230819t194058p0000-B,True,False,5
GAO20230819t194058p0000-F,True,False,5
GAO20230819t194733p0000-A,True,True,0
GAO20230819t194733p0000-F,True,True,0
GAO20230819t195323p0000-C,True,True,0
GAO20230819t195323p0000-F,True,True,0
GAO20230819t195323p0000-G,True,True,0
GAO20230819t200018p0000-A,True,True,0
GAO20230819t200018p0000-B,True,True,0
GAO20230819t200018p0000-C,True,True,0
GAO20230824t173950p0000-A,True,True,0
GAO20230824t173950p0000-B,True,True,0
GAO20230824t173950p0000-C,True,True,0
GAO20230824t173950p0000-D,True,True,0
GAO20230824t173950p0000-E,True,True,0
GAO20230824t173950p0000-F,True,True,0
GAO20230824t173950p0000-G,True,True,0
GAO20230824t173950p0000-H,True,True,0
GAO20230824t173950p0000-I,True,True,0
GAO20230824t174552p0000-A,True,True,0
GAO20230824t174552p0000-B,True,True,0
GAO20230824t174552p0000-C,True,True,0
GAO20230824t174552p0000-D,True,True,0
GAO20230824t174552p0000-E,True,True,0
GAO20230824t174552p0000-F,True,True,0
GAO20230824t174552p0000-G,True,True,0
GAO20230824t174552p0000-H,True,True,0
GAO20230824t174552p0000-I,True,True,0
GAO20230824t174552p0000-J,True,True,0
GAO20230824t175220p0000-A,True,True,0
GAO20230824t175220p0000-B,True,True,0
GAO20230824t175220p0000-C,True,True,0
GAO20230824t175220p0000-D,True,True,0
GAO20230824t175220p0000-E,True,True,0
GAO20230824t175220p0000-F,True,True,0
GAO20230824t175220p0000-G,True,True,0
GAO20230824t175220p0000-H,True,True,0
GAO20230824t175220p0000-I,True,True,0
GAO20230824t175835p0000-B,True,True,0
GAO20230824t175835p0000-C,True,True,0
GAO20230824t175835p0000-D,True,True,0
GAO20230824t175835p0000-E,True,True,0
GAO20230824t175835p0000-F,True,True,0
GAO20230824t175835p0000-G,True,True,0
GAO20230824t175835p0000-H,True,True,0
GAO20230824t175835p0000-I,True,True,0
GAO20230824t175835p0000-J,True,True,0
GAO20230824t175835p0000-K,True,True,0
GAO20230824t175835p0000-L,True,True,0
GAO20230824t180435p0000-B,True,True,0
GAO20230824t180435p0000-C,True,True,0
GAO20230824t180435p0000-D,True,True,0
GAO20230824t180435p0000-E,True,True,0
GAO20230824t180435p0000-F,True,True,0
GAO20230824t180435p0000-H,True,True,0
GAO20230824t180435p0000-I,True,True,0
GAO20230824t180435p0000-J,True,True,0
GAO20230824t180435p0000-K,True,True,0
GAO20230824t180435p0000-L,True,True,0
GAO20230824t180435p0000-M,True,True,0
GAO20230824t180435p0000-N,True,True,0
GAO20230824t180435p0000-O,True,True,0
GAO20230824t180435p0000-P,True,True,0
GAO20230824t181850p0000-A,True,False,6
GAO20230824t181850p0000-B,True,False,6
GAO20230824t181850p0000-C,True,True,0
GAO20230824t181850p0000-D,True,True,0
GAO20230824t181850p0000-E,True,True,0
GAO20230824t181850p0000-F,True,True,0
GAO20230824t181850p0000-G,True,True,0
GAO20230824t181850p0000-H,True,True,0
GAO20230824t181850p0000-I,True,True,0
GAO20230824t182756p0000-A,True,True,0
GAO20230824t182756p0000-B,True,True,0
GAO20230824t182756p0000-C,True,True,0
GAO20230824t182756p0000-D,True,True,0
GAO20230824t182756p0000-E,True,True,0
GAO20230824t182756p0000-F,True,True,0
GAO20230824t182756p0000-G,True,True,0
GAO20230824t182756p0000-H,True,True,0
GAO20230824t182756p0000-I,True,True,0
GAO20230824t183712p0000-B,True,True,0
GAO20230824t183712p0000-C,True,True,0
GAO20230824t183712p0000-D,True,True,0
GAO20230824t183712p0000-E,True,True,0
GAO20230824t183712p0000-F,True,True,0
