plume_id,event_group_id,status,reason,physical_t0,gee_only_t0,physical_prev1,gee_only_prev1,physical_prev2,gee_only_prev2,physical_prev3,gee_only_prev3,physical_seasonal,gee_only_seasonal,physical_year,gee_only_year,physical_raw_cm_mask
GAO20200715t191219p0000-B,GAO20200715t191219p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t191219p0000-C,GAO20200715t191219p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t191219p0000-D,GAO20200715t191219p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t193403p0000-A,GAO20200715t193403p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200715t193403p0000-B,GAO20200715t193403p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200718t180036p0000-H,GAO20200718t180036p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200718t180036p0001-A,GAO20200718t180036p0001,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200718t182430p0000-C,GAO20200718t182430p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200718t182430p0000-G,GAO20200718t182430p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200718t182430p0000-H,GAO20200718t182430p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200718t184740p0000-A,GAO20200718t184740p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t174534p0000-C,GAO20200723t174534p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t174534p0000-D,GAO20200723t174534p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t174534p0000-E,GAO20200723t174534p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t175746p0000-A,GAO20200723t175746p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t175746p0000-B,GAO20200723t175746p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t175746p0000-D,GAO20200723t175746p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t175746p0000-E,GAO20200723t175746p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t180941p0000-B,GAO20200723t180941p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t182125p0000-J,GAO20200723t182125p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t183200p0000-B,GAO20200723t183200p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t185222p0000-A,GAO20200723t185222p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200723t190433p0000-A,GAO20200723t190433p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200724t155931p0000-A,GAO20200724t155931p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200724t161329p0000-B,GAO20200724t161329p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200724t161329p0000-C,GAO20200724t161329p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200724t165348p0000-B,GAO20200724t165348p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200728t174227p0000-A,GAO20200728t174227p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200730t193939p0000-A,GAO20200730t193939p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200802t183346p0000-A,GAO20200802t183346p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200806t184600p0000-A,GAO20200806t184600p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200806t190349p0000-A,GAO20200806t190349p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200806t192856p0000-A,GAO20200806t192856p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200806t192856p0000-B,GAO20200806t192856p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200806t195450p0000-A,GAO20200806t195450p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200806t195450p0000-B,GAO20200806t195450p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20200807t163414p0000-A,GAO20200807t163414p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201120t182953p0000-2,GAO20201120t182953p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t185745p0000-A,GAO20201121t185745p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t192431p0000-1,GAO20201121t192431p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t193350p0000-A,GAO20201121t193350p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t201245p0000-1,GAO20201121t201245p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t201245p0000-A,GAO20201121t201245p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t201245p0000-B,GAO20201121t201245p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t202345p0000-1,GAO20201121t202345p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t202345p0000-7,GAO20201121t202345p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t202345p0000-A,GAO20201121t202345p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t202345p0000-B,GAO20201121t202345p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t202345p0000-C,GAO20201121t202345p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20201121t203403p0000-A,GAO20201121t203403p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20210505t174931p0000-1,GAO20210505t174931p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20210506t175942p0000-1,GAO20210506t175942p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
GAO20210506t175942p0000-2,GAO20210506t175942p0000,ok,,1,1,1,1,1,1,1,1,1,1,1,1,1
