plume_id,status,reason
GAO20230819t175813p0000-B,ok,
GAO20230819t175813p0000-C,ok,
GAO20230819t175813p0000-D,ok,
GAO20230819t175813p0000-E,ok,
GAO20230819t175813p0000-G,ok,
GAO20230819t175813p0000-H,ok,
GAO20230819t181723p0000-A,ok,
GAO20230819t182358p0000-A,ok,
GAO20230819t182358p0000-C,ok,
GAO20230819t183045p0000-B,ok,
GAO20230819t183045p0000-C,ok,
GAO20230819t183643p0000-A,ok,
GAO20230819t184403p0000-A,ok,
GAO20230819t184403p0000-B,ok,
GAO20230819t184403p0000-C,ok,
GAO20230819t185009p0000-C,ok,
GAO20230819t185009p0000-E,ok,
GAO20230819t185649p0000-A,ok,
GAO20230819t185649p0000-C,ok,
GAO20230819t185649p0000-D,ok,
GAO20230819t190243p0000-A,ok,
GAO20230819t190243p0000-B,ok,
GAO20230819t190243p0000-D,ok,
GAO20230819t190243p0000-G,ok,
GAO20230819t190243p0000-I,ok,
GAO20230819t190243p0000-M,ok,
GAO20230819t190243p0000-R,ok,
GAO20230819t190914p0000-B,ok,
GAO20230819t190914p0000-H,ok,
GAO20230819t190914p0000-J,ok,
GAO20230819t190914p0000-O,ok,
GAO20230819t191528p0000-A,ok,
GAO20230819t191528p0000-B,ok,
GAO20230819t191528p0000-D,ok,
GAO20230819t191528p0000-F,ok,
GAO20230819t191528p0000-G,ok,
GAO20230819t191528p0000-I,ok,
GAO20230819t192214p0000-B,ok,
GAO20230819t192214p0000-C,ok,
GAO20230819t192214p0000-D,ok,
GAO20230819t192214p0000-F,ok,
GAO20230819t192818p0000-B,ok,
GAO20230819t192818p0000-C,ok,
GAO20230819t192818p0000-N,ok,
GAO20230819t193458p0000-A,ok,
GAO20230819t193458p0000-G,ok,
GAO20230819t193458p0000-N,ok,
GAO20230819t193458p0000-T,ok,
GAO20230819t194058p0000-A,ok,
GAO20230819t194058p0000-B,ok,
GAO20230819t194058p0000-F,ok,
GAO20230819t194733p0000-A,ok,
GAO20230819t194733p0000-F,ok,
GAO20230819t195323p0000-C,ok,
GAO20230819t195323p0000-F,ok,
GAO20230819t195323p0000-G,ok,
GAO20230819t200018p0000-A,ok,
GAO20230819t200018p0000-B,ok,
GAO20230819t200018p0000-C,ok,
GAO20230824t173950p0000-A,ok,
GAO20230824t173950p0000-B,ok,
GAO20230824t173950p0000-C,ok,
GAO20230824t173950p0000-D,ok,
GAO20230824t173950p0000-E,ok,
GAO20230824t173950p0000-F,ok,
GAO20230824t173950p0000-G,ok,
GAO20230824t173950p0000-H,ok,
GAO20230824t173950p0000-I,ok,
GAO20230824t174552p0000-A,ok,
GAO20230824t174552p0000-B,ok,
GAO20230824t174552p0000-C,ok,
GAO20230824t174552p0000-D,ok,
GAO20230824t174552p0000-E,ok,
GAO20230824t174552p0000-F,ok,
GAO20230824t174552p0000-G,ok,
GAO20230824t174552p0000-H,ok,
GAO20230824t174552p0000-I,ok,
GAO20230824t174552p0000-J,ok,
GAO20230824t175220p0000-A,ok,
GAO20230824t175220p0000-B,ok,
GAO20230824t175220p0000-C,ok,
GAO20230824t175220p0000-D,ok,
GAO20230824t175220p0000-E,ok,
GAO20230824t175220p0000-F,ok,
GAO20230824t175220p0000-G,ok,
GAO20230824t175220p0000-H,ok,
GAO20230824t175220p0000-I,ok,
GAO20230824t175835p0000-B,ok,
GAO20230824t175835p0000-C,ok,
GAO20230824t175835p0000-D,ok,
GAO20230824t175835p0000-E,ok,
GAO20230824t175835p0000-F,ok,
GAO20230824t175835p0000-G,ok,
GAO20230824t175835p0000-H,ok,
GAO20230824t175835p0000-I,ok,
GAO20230824t175835p0000-J,ok,
GAO20230824t175835p0000-K,ok,
GAO20230824t175835p0000-L,ok,
GAO20230824t180435p0000-B,ok,
GAO20230824t180435p0000-C,ok,
GAO20230824t180435p0000-D,ok,
GAO20230824t180435p0000-E,ok,
GAO20230824t180435p0000-F,ok,
GAO20230824t180435p0000-H,ok,
GAO20230824t180435p0000-I,ok,
GAO20230824t180435p0000-J,ok,
GAO20230824t180435p0000-K,ok,
GAO20230824t180435p0000-L,ok,
GAO20230824t180435p0000-M,ok,
GAO20230824t180435p0000-N,ok,
GAO20230824t180435p0000-O,ok,
GAO20230824t180435p0000-P,ok,
GAO20230824t181850p0000-A,ok,
GAO20230824t181850p0000-B,ok,
GAO20230824t181850p0000-C,ok,
GAO20230824t181850p0000-D,ok,
GAO20230824t181850p0000-E,ok,
GAO20230824t181850p0000-F,ok,
GAO20230824t181850p0000-G,ok,
GAO20230824t181850p0000-H,ok,
GAO20230824t181850p0000-I,ok,
GAO20230824t182756p0000-A,ok,
GAO20230824t182756p0000-B,ok,
GAO20230824t182756p0000-C,ok,
GAO20230824t182756p0000-D,ok,
GAO20230824t182756p0000-E,ok,
GAO20230824t182756p0000-F,ok,
GAO20230824t182756p0000-G,ok,
GAO20230824t182756p0000-H,ok,
GAO20230824t182756p0000-I,ok,
GAO20230824t183712p0000-B,ok,
GAO20230824t183712p0000-C,ok,
GAO20230824t183712p0000-D,ok,
GAO20230824t183712p0000-E,ok,
GAO20230824t183712p0000-F,ok,
GAO20230824t183712p0000-G,ok,
GAO20230824t183712p0000-H,ok,
GAO20230824t183712p0000-J,ok,
GAO20230824t183712p0000-K,ok,
GAO20230824t185535p0000-A,ok,
GAO20230824t185535p0000-B,ok,
GAO20230824t185535p0000-C,ok,
GAO20230824t185535p0000-D,ok,
GAO20230824t185535p0000-E,ok,
GAO20230824t185535p0000-F,ok,
GAO20230824t185535p0000-G,ok,
GAO20230824t185535p0000-H,ok,
GAO20230907t183326p0000-A,ok,
GAO20230907t183326p0000-B,ok,
GAO20230907t195230p0000-A,ok,
GAO20230907t200201p0000-A,ok,
GAO20230912t181313p0000-A,ok,
GAO20230912t183548p0000-A,ok,
GAO20230912t183548p0000-B,ok,
GAO20230912t184733p0000-A,ok,
GAO20230912t185903p0000-A,ok,
GAO20230912t193133p0000-A,ok,
GAO20230912t193133p0000-B,ok,
GAO20230912t194153p0000-A,ok,
GAO20230912t200700p0000-A,ok,
GAO20230922t183732p0000-A,ok,
GAO20230922t185216p0000-A,ok,
GAO20230922t185216p0000-B,ok,
GAO20230922t185631p0000-A,ok,
GAO20230922t185631p0000-B,ok,
GAO20230927t191343p0000-A,ok,
GAO20230927t191833p0000-A,ok,
GAO20230927t193128p0000-A,ok,
GAO20230927t193128p0000-B,ok,
GAO20230927t193545p0000-A,ok,
GAO20230929t184651p0000-A,ok,
GAO20230929t190156p0000-A,ok,
GAO20230929t191552p0000-A,ok,
GAO20231004t181028p0000-B,ok,
GAO20231004t182123p0000-A,ok,
